,Pos,Vel,Angle,Vel_tip,Mean_1,Mean_2,Variance_1,Variance_2
154,-0.017395173992144155,0.17205600456118922,0.13296500504048378,-0.12276235272049152,6.701092,6.771586,0.043030012,0.031338714
155,-0.01395405390092037,0.3650471961531604,0.13050975798607395,-0.3707172643843376,6.4864197,6.5145583,0.024400093,0.03630637
156,-0.006653109977857162,0.5580968414498582,0.1230954126983872,-0.6195680620042606,6.836029,6.874507,0.024770424,0.026926389
157,0.004508826851140001,0.7513040540696065,0.11070405145830198,-0.8710872499102355,6.5816584,6.5895796,0.026257358,0.03240849
158,0.019534907932532132,0.5548646057326426,0.09328230646009728,-0.5457512627228036,6.935393,6.898065,0.030877577,0.029782044
159,0.030632200047184983,0.3585642862194117,0.0823672812056412,-0.22519570634992714,6.4393034,6.436062,0.045837056,0.04417692
160,0.03780348577157322,0.1623676491257335,0.07786336707864265,0.09229011904846252,6.947168,6.9268007,0.048760414,0.029697025
161,0.04105083875408789,-0.03377898505309537,0.0797091694596119,0.4084873424677201,6.530094,6.506879,0.038809396,0.033101734
162,0.04037525905302598,0.1601276629042585,0.0878789163089663,0.14196056667053014,6.7684875,6.811511,0.079171956,0.06059134
163,0.04357781231111115,-0.03613577778453125,0.0907181276423769,0.4610228555089507,6.6811194,6.5904884,0.0055458415,0.013821236
164,0.04285509675542053,0.15759471372463923,0.09993858475255592,0.19825662935751676,6.7541647,6.9720764,0.026637582,0.02426986
165,0.04600699102991331,0.35115576387251035,0.10390371733970626,-0.0613031684050111,6.6068482,6.6744814,0.041032497,0.01835791
166,0.05303010630736352,0.5446463671883204,0.10267765397160604,-0.319481034329067,6.7288766,6.7307215,0.041205082,0.04074553
167,0.06392303365112992,0.3482233949516752,0.0962880332850247,0.0037358823428197407,6.76093,6.7296667,0.11898065,0.099530794
168,0.07088750155016342,0.1518618525576732,0.09636275093188108,0.3251788015065496,6.7137923,6.682971,0.01209516,0.016585764
169,0.07392473860131689,0.3454891330177895,0.10286632696201208,0.06437214663922519,6.421918,6.6622934,0.0784621,0.083313756
170,0.08083452126167268,0.5389973336806482,0.10415376989479658,-0.19416641259014933,6.555649,6.620275,0.05772725,0.042255707
171,0.09161446793528565,0.7324871412757876,0.10027044164299359,-0.45226243718710696,6.7365274,6.7397947,0.058248866,0.07220632
172,0.10626421076080139,0.9260587344551126,0.09122519289925145,-0.7117312634245658,6.758063,6.768472,0.034516033,0.034696233
173,0.12478538544990364,1.1198069987731742,0.07699056763076013,-0.9743621909137044,6.72827,6.733635,0.025623567,0.027427565
174,0.14718152542536714,1.313816410737172,0.057503323812486046,-1.2419013632007985,6.7834077,6.836956,0.046934437,0.064727336
175,0.17345785364011057,1.5081550063772904,0.03266529654847007,-1.5160307729832683,6.6471357,6.6566267,0.004999914,0.00493353
